country,iso_code,region,year,population,gdp,energy_per_capita,primary_energy_consumption,renewables_share_energy,fossil_share_energy,solar_share_energy,wind_share_energy,hydro_share_energy,coal_share_energy,oil_share_energy,gas_share_energy,co2_emissions
Brazil,BRA,South America,2000,213000000.0,1899960000000.0,186.55,39.735,77.72,18.3,0.2,19.2,58.33,8.23,6.4,3.66,3.635
Brazil,BRA,South America,2001,214704000.0,1947459000000.0,180.28,38.401,81.59,18.19,0.0,20.94,60.65,8.18,6.37,3.64,3.492
Brazil,BRA,South America,2002,216408000.0,1994958000000.0,176.57,37.609,77.94,16.79,0.15,17.76,60.02,7.55,5.88,3.36,3.157
Brazil,BRA,South America,2003,218112000.0,2042457000000.0,186.56,39.736,77.28,16.59,0.54,17.91,58.83,7.46,5.8,3.32,3.295
Brazil,BRA,South America,2004,219816000.0,2089956000000.0,187.85,40.013,79.29,15.74,1.95,19.28,58.06,7.08,5.51,3.15,3.15
Brazil,BRA,South America,2005,221520000.0,2137455000000.0,197.08,41.979,77.87,16.01,2.17,19.18,56.52,7.21,5.6,3.2,3.361
Brazil,BRA,South America,2006,223224000.0,2184954000000.0,198.65,42.312,84.31,14.89,2.82,21.9,59.59,6.7,5.21,2.98,3.149
Brazil,BRA,South America,2007,224928000.0,2232453000000.0,201.27,42.87,81.46,10.65,3.68,20.56,57.22,4.79,3.73,2.13,2.282
Brazil,BRA,South America,2008,226632000.0,2279952000000.0,212.15,45.187,81.82,13.99,5.74,18.98,57.1,6.29,4.9,2.8,3.16
Brazil,BRA,South America,2009,228336000.0,2327451000000.0,220.79,47.029,80.99,15.98,6.6,18.48,55.9,7.19,5.59,3.2,3.759
Brazil,BRA,South America,2010,230040000.0,2374950000000.0,227.09,48.371,81.58,12.17,8.64,21.43,51.52,5.48,4.26,2.43,2.943
Brazil,BRA,South America,2011,231744000.0,2422449000000.0,229.72,48.93,81.1,12.56,10.67,21.25,49.19,5.65,4.39,2.51,3.072
Brazil,BRA,South America,2012,233448000.0,2469948000000.0,223.6,47.626,82.85,10.61,12.06,21.52,49.26,4.78,3.71,2.12,2.527
